prior,mean,sd,lower,upper
"N(-1.8, 2)",-2.0163199365467555,0.03283652980953914,-2.082050374309847,-1.9563786345238154
"N(-1.8, 0.1)",-2.0087254648287463,0.03153414214520396,-2.0733016365995005,-1.9423252807638436
"N(-1.8, 0.01)",-1.8639256700215059,0.01628184899422718,-1.8968423401739354,-1.8333993401278272
